[2016-12-24 14:09:37.951842]SIM[  9] Auth. time use:317691.000000(us)
[2016-12-24 14:09:50.968942]SIM[  9] Auth. time use:328789.000000(us)
[2016-12-24 14:10:03.972581]SIM[  9] Auth. time use:325434.000000(us)
[2016-12-24 14:10:16.977333]SIM[  9] Auth. time use:322128.000000(us)
[2016-12-24 14:10:29.981896]SIM[  9] Auth. time use:320752.000000(us)
[2016-12-24 14:10:42.978871]SIM[  9] Auth. time use:312728.000000(us)
[2016-12-24 14:10:55.985315]SIM[  9] Auth. time use:313171.000000(us)
[2016-12-24 14:11:08.989679]SIM[  9] Auth. time use:312536.000000(us)
[2016-12-24 14:11:22.  1102]SIM[  9] Auth. time use:317959.000000(us)
[2016-12-24 14:11:35.  9549]SIM[  9] Auth. time use:320403.000000(us)
[2016-12-24 14:11:48. 19258]SIM[  9] Auth. time use:321113.000000(us)
[2016-12-24 14:12:01. 22037]SIM[  9] Auth. time use:317891.000000(us)
[2016-12-24 14:12:14. 30816]SIM[  9] Auth. time use:317675.000000(us)
[2016-12-24 14:12:27. 29664]SIM[  9] Auth. time use:310524.000000(us)
[2016-12-24 14:12:40. 50697]SIM[  9] Auth. time use:324554.000000(us)
[2016-12-24 14:12:53. 53183]SIM[  9] Auth. time use:319038.000000(us)
[2016-12-24 14:13:06. 60118]SIM[  9] Auth. time use:318970.000000(us)
[2016-12-24 14:13:19.212193]SIM[9] auth. ACK2 length error. Tx_APDU[1]:00 
[2016-12-24 14:13:32. 61601]SIM[  9] Auth. time use:307454.000000(us)
[2016-12-24 14:13:45. 77772]SIM[  9] Auth. time use:316633.000000(us)
[2016-12-24 14:13:58. 81951]SIM[  9] Auth. time use:312807.000000(us)
[2016-12-24 14:14:11. 99625]SIM[  9] Auth. time use:323483.000000(us)
[2016-12-24 14:14:24.101453]SIM[  9] Auth. time use:317309.000000(us)
[2016-12-24 14:14:37.108781]SIM[  9] Auth. time use:316637.000000(us)
[2016-12-24 14:14:50.111986]SIM[  9] Auth. time use:313843.000000(us)
[2016-12-24 14:15:03.129161]SIM[  9] Auth. time use:323021.000000(us)
[2016-12-24 14:15:16.120487]SIM[  9] Auth. time use:308339.000000(us)
[2016-12-24 14:15:29.136270]SIM[  9] Auth. time use:315120.000000(us)
[2016-12-24 14:15:42.156381]SIM[  9] Auth. time use:325238.000000(us)
[2016-12-24 14:15:55.176230]SIM[  9] Auth. time use:337079.000000(us)
[2016-12-24 14:16:08.168879]SIM[  9] Auth. time use:321725.000000(us)
[2016-12-24 14:16:21.191202]SIM[  9] Auth. time use:337060.000000(us)
[2016-12-24 14:16:34.204168]SIM[  9] Auth. time use:342025.000000(us)
[2016-12-24 14:16:47.206353]SIM[  9] Auth. time use:338207.000000(us)
[2016-12-24 14:17:00.218075]SIM[  9] Auth. time use:342928.000000(us)
[2016-12-24 14:17:13.211303]SIM[  9] Auth. time use:329157.000000(us)
[2016-12-24 14:17:26.227222]SIM[  9] Auth. time use:338075.000000(us)
[2016-12-24 14:17:39.229887]SIM[  9] Auth. time use:334740.000000(us)
[2016-12-24 14:17:52.209827]SIM[  9] Auth. time use:308680.000000(us)
[2016-12-24 14:18:05.220392]SIM[  9] Auth. time use:310245.000000(us)
[2016-12-24 14:18:18.229733]SIM[  9] Auth. time use:307586.000000(us)
[2016-12-24 14:18:31.262842]SIM[  9] Auth. time use:332695.000000(us)
[2016-12-24 14:18:44.253865]SIM[  9] Auth. time use:316719.000000(us)
[2016-12-24 14:18:57.263130]SIM[  9] Auth. time use:317988.000000(us)
[2016-12-24 14:19:10.271854]SIM[  9] Auth. time use:318714.000000(us)
[2016-12-24 14:19:23.284410]SIM[  9] Auth. time use:323269.000000(us)
[2016-12-24 14:19:36.294906]SIM[  9] Auth. time use:324762.000000(us)
[2016-12-24 14:19:49.286350]SIM[  9] Auth. time use:310207.000000(us)
[2016-12-24 14:20:02.293875]SIM[  9] Auth. time use:310730.000000(us)
[2016-12-24 14:20:15.313494]SIM[  9] Auth. time use:324351.000000(us)
[2016-12-24 14:20:28.314768]SIM[  9] Auth. time use:316626.000000(us)
[2016-12-24 14:20:41.319559]SIM[  9] Auth. time use:315417.000000(us)
[2016-12-24 14:20:54.323975]SIM[  9] Auth. time use:311829.000000(us)
[2016-12-24 14:21:07.338588]SIM[  9] Auth. time use:318444.000000(us)
[2016-12-24 14:21:20.342623]SIM[  9] Auth. time use:313480.000000(us)
[2016-12-24 14:21:33.357347]SIM[  9] Auth. time use:321205.000000(us)
[2016-12-24 14:21:46.353019]SIM[  9] Auth. time use:308875.000000(us)
[2016-12-24 14:21:59.359318]SIM[  9] Auth. time use:309177.000000(us)
[2016-12-24 14:22:12.371802]SIM[  9] Auth. time use:315661.000000(us)
[2016-12-24 14:22:25.387894]SIM[  9] Auth. time use:324753.000000(us)
[2016-12-24 14:22:38.393130]SIM[  9] Auth. time use:321990.000000(us)
[2016-12-24 14:22:51.399525]SIM[  9] Auth. time use:321381.000000(us)
[2016-12-24 14:23:04.399179]SIM[  9] Auth. time use:313035.000000(us)
[2016-12-24 14:23:17.408947]SIM[  9] Auth. time use:314808.000000(us)
[2016-12-24 14:23:30.421958]SIM[  9] Auth. time use:321815.000000(us)
[2016-12-24 14:23:43.426415]SIM[  9] Auth. time use:319271.000000(us)
[2016-12-24 14:23:56.428857]SIM[  9] Auth. time use:314706.000000(us)
[2016-12-24 14:24:09.424087]SIM[  9] Auth. time use:303934.000000(us)
[2016-12-24 14:24:22.450081]SIM[  9] Auth. time use:322935.000000(us)
[2016-12-24 14:24:35.472609]SIM[  9] Auth. time use:339459.000000(us)
[2016-12-24 14:24:48.477504]SIM[  9] Auth. time use:337358.000000(us)
[2016-12-24 14:25:01.469571]SIM[  9] Auth. time use:320430.000000(us)
[2016-12-24 14:25:14.462954]SIM[  9] Auth. time use:302810.000000(us)
[2016-12-24 14:25:27.487819]SIM[  9] Auth. time use:320673.000000(us)
[2016-12-24 14:25:40.501968]SIM[  9] Auth. time use:328828.000000(us)
[2016-12-24 14:25:53.505340]SIM[  9] Auth. time use:325190.000000(us)
[2016-12-24 14:26:06.500318]SIM[  9] Auth. time use:312172.000000(us)
[2016-12-24 14:26:19.520701]SIM[  9] Auth. time use:326545.000000(us)
[2016-12-24 14:26:32.533134]SIM[  9] Auth. time use:332984.000000(us)
[2016-12-24 14:26:45.538832]SIM[  9] Auth. time use:331690.000000(us)
